club_id,name,pretty_name,domestic_competition,league_id,total_market_value,squad_size,average_age,foreigners_number,foreigners_percentage,national_team_players,stadium_name,stadium_seats,net_transfer_record,coach_name,url
105,sv-darmstadt-98,Sv Darmstadt 98,L1,L1,12.6,30,24.6,6,20.0,1,Merck-Stadion am Böllenfalltor,17400,+£90Th.,Dirk Schuster,https://www.transfermarkt.co.uk/sv-darmstadt-98/startseite/verein/105
27,fc-bayern-munchen,Fc Bayern Munchen,L1,L1,736.65,26,25.7,14,53.8,17,Allianz Arena,75024,£-38.25m,Pep Guardiola,https://www.transfermarkt.co.uk/fc-bayern-munchen/startseite/verein/27
28643,waasland-beveren,Waasland Beveren,BE1,BE1,8.55,25,24.3,12,48.0,1,Freethielstadion,13290,+£1.26m,Stijn Vreven,https://www.transfermarkt.co.uk/waasland-beveren/startseite/verein/28643
86,sv-werder-bremen,Sv Werder Bremen,L1,L1,51.73,27,24.2,8,29.6,3,Wohninvest-Weserstadion,42100,+£28.89m,Viktor Skrypnyk,https://www.transfermarkt.co.uk/sv-werder-bremen/startseite/verein/86
1304,heracles-almelo,Heracles Almelo,NL1,NL1,12.67,30,23.4,21,70.0,3,Erve Asito,12400,£-225Th.,John Stegeman,https://www.transfermarkt.co.uk/heracles-almelo/startseite/verein/1304
6996,goverla-uzhgorod,Goverla Uzhgorod,UKR1,UKR1,,0,0.0,0,,0,Avangard,10640,+-0,Vyacheslav Groznyi,https://www.transfermarkt.co.uk/goverla-uzhgorod/startseite/verein/6996
4128,amkar-perm,Amkar Perm,RU1,RU1,3.67,27,24.6,0,,0,Zvezda,17000,+-0,Gadzhi Gadzhiev,https://www.transfermarkt.co.uk/amkar-perm/startseite/verein/4128
6994,metalurg-zaporizhya-bis-2016-,Metalurg Zaporizhya Bis 2016,UKR1,UKR1,,0,0.0,0,,0,ZAZ Stadion,15000,+-0,Anatoliy Chantsev,https://www.transfermarkt.co.uk/metalurg-zaporizhya-bis-2016-/startseite/verein/6994
989,afc-bournemouth,Afc Bournemouth,GB1,GB1,103.82,22,24.5,9,40.9,7,Vitality Stadium,11329,+£24.21m,Eddie Howe,https://www.transfermarkt.co.uk/afc-bournemouth/startseite/verein/989
28095,fk-ufa,Fk Ufa,RU1,RU1,14.36,25,26.9,8,32.0,3,BetBoom Arena,15132,+£231Th.,Igor Kolyvanov,https://www.transfermarkt.co.uk/fk-ufa/startseite/verein/28095
2999,hamilton-academical-fc,Hamilton Academical Fc,SC1,SC1,5.49,28,23.4,4,14.3,1,Fountain of Youth Stadium,6018,+-0,Martin Canning,https://www.transfermarkt.co.uk/hamilton-academical-fc/startseite/verein/2999
7185,panthrakikos-komotini,Panthrakikos Komotini,GR1,GR1,23.0,5,26.3,3,60.0,1,Stadio Komotinis OPAP,5601,+-0,José Manuel Roca,https://www.transfermarkt.co.uk/panthrakikos-komotini/startseite/verein/7185
4795,fc-ingolstadt-04,Fc Ingolstadt 04,L1,L1,8.64,31,24.9,9,29.0,2,Audi Sportpark,15800,+-0,Ralph Hasenhüttl,https://www.transfermarkt.co.uk/fc-ingolstadt-04/startseite/verein/4795
47,iraklis-thessaloniki,Iraklis Thessaloniki,GR1,GR1,1.31,10,25.1,2,20.0,0,Kaftanzoglio Stadio,27770,+-0,Nikolaos Papadopoulos,https://www.transfermarkt.co.uk/iraklis-thessaloniki/startseite/verein/47
2293,konyaspor,Konyaspor,TR1,TR1,20.16,33,26.3,14,42.4,10,Medaş Konya Büyükşehir Stadyumu,42000,£-965Th.,Aykut Kocaman,https://www.transfermarkt.co.uk/konyaspor/startseite/verein/2293
3216,mersin-idmanyurdu,Mersin Idmanyurdu,TR1,TR1,,0,0.0,0,,0,Mersin Stadyumu,25497,+-0,Mesut Bakkal,https://www.transfermarkt.co.uk/mersin-idmanyurdu/startseite/verein/3216
169,panionios-athen,Panionios Athen,GR1,GR1,765.0,29,21.7,3,10.3,0,Stadio Neas Smyrnis,11700,+-0,Marinos Ouzounidis,https://www.transfermarkt.co.uk/panionios-athen/startseite/verein/169
3,1-fc-koln,1 Fc Koln,L1,L1,68.54,30,25.1,12,40.0,5,RheinEnergieStadion,50000,+£19.80m,Peter Stöger,https://www.transfermarkt.co.uk/1-fc-koln/startseite/verein/3
8970,frosinone-calcio,Frosinone Calcio,IT1,IT1,13.39,32,25.9,9,28.1,2,Benito Stirpe,16227,+-0,Roberto Stellone,https://www.transfermarkt.co.uk/frosinone-calcio/startseite/verein/8970
126,caykur-rizespor,Caykur Rizespor,TR1,TR1,17.87,30,26.8,13,43.3,5,Çaykur Didi,15332,+-0,Hikmet Karaman,https://www.transfermarkt.co.uk/caykur-rizespor/startseite/verein/126
800,atalanta-bergamo,Atalanta Bergamo,IT1,IT1,368.64,33,26.1,20,60.6,17,Gewiss Stadium,22512,£-13.59m,Edoardo Reja,https://www.transfermarkt.co.uk/atalanta-bergamo/startseite/verein/800
6574,us-sassuolo,Us Sassuolo,IT1,IT1,236.52,35,26.7,15,42.9,12,Mapei Stadium - Città del Tricolore,21584,£-2.70m,Eusebio Di Francesco,https://www.transfermarkt.co.uk/us-sassuolo/startseite/verein/6574
416,fc-turin,Fc Turin,IT1,IT1,135.68,34,25.4,21,61.8,9,Stadio Grande Torino,27994,+£6.12m,Gian Piero Ventura,https://www.transfermarkt.co.uk/fc-turin/startseite/verein/416
862,chievo-verona,Chievo Verona,IT1,IT1,,0,0.0,0,,0,Marcantonio Bentegodi,31045,+£90Th.,Rolando Maran,https://www.transfermarkt.co.uk/chievo-verona/startseite/verein/862
252,genua-cfc,Genua Cfc,IT1,IT1,70.47,33,26.9,14,42.4,5,Luigi Ferraris,36599,+£13.23m,Gian Piero Gasperini,https://www.transfermarkt.co.uk/genua-cfc/startseite/verein/252
1038,sampdoria-genua,Sampdoria Genua,IT1,IT1,121.82,31,27.2,14,45.2,9,Luigi Ferraris,36348,£-12.60m,Walter Zenga,https://www.transfermarkt.co.uk/sampdoria-genua/startseite/verein/1038
410,udinese-calcio,Udinese Calcio,IT1,IT1,82.13,29,27.9,22,75.9,5,Dacia Arena,25144,+£49.95m,Stefano Colantuono,https://www.transfermarkt.co.uk/udinese-calcio/startseite/verein/410
190,fc-kopenhagen,Fc Kopenhagen,DK1,DK1,29.7,24,25.9,14,58.3,10,Parken,38065,£-776Th.,Stale Solbakken,https://www.transfermarkt.co.uk/fc-kopenhagen/startseite/verein/190
